Salinispora arenicola CNP105,ARGZ01000000,GCA_000375045,GCF_000375045,GCF_000375045.1,NZ_KB896003,NZ_KB896005,NZ_KB896006,NZ_KB896007,NZ_KB896008,NZ_KB896009,NZ_KB896010,NZ_KB896012,NZ_KB896014,NZ_KB896018,NZ_KB896019,NZ_KB896020,NZ_KB896022,NZ_KB896023,NZ_KB896028,NZ_KB896029,NZ_KB896031,NZ_KB896033,NZ_KB896034,NZ_KB896036,NZ_KB896039,NZ_KB896040,NZ_KB896043,NZ_KB896048,NZ_KB896051,NZ_KB896058,P105-3-Bu.mzXML,P105-3-EA.mzXML,P105-3-Me.mzXML
Salinispora arenicola CNP193,18a.mzXML,18b.mzXML,ARGY01000000,GCA_000375025,GCF_000375025,NZ_KB896072,NZ_KB896073,NZ_KB896074,NZ_KB896075,NZ_KB896076,NZ_KB896077,NZ_KB896078,NZ_KB896082,NZ_KB896083,NZ_KB896085,NZ_KB896087,NZ_KB896088,NZ_KB896089,NZ_KB896091,NZ_KB896093,NZ_KB896095,NZ_KB896099,NZ_KB896100,NZ_KB896103,NZ_KB896104,NZ_KB896105,NZ_KB896111,NZ_KB896113,NZ_KB896115,NZ_KB896122,P193-3-Bu.mzXML,P193-3-EA.mzXML,P193-3-Me.mzXML
Salinispora arenicola CNQ748,16a.mzXML,16b.mzXML,AZWY01000001,GCA_000514975,GCF_000514975,GCF_000514975.1,NZ_AZWY01000005,NZ_AZWY01000006,NZ_AZWY01000007,NZ_AZWY01000008,NZ_AZWY01000009,NZ_AZWY01000010,NZ_AZWY01000011,NZ_AZWY01000016,NZ_AZWY01000017,NZ_AZWY01000019,NZ_AZWY01000020,NZ_AZWY01000021,NZ_AZWY01000023,NZ_AZWY01000025,NZ_AZWY01000032,NZ_AZWY01000034,NZ_AZWY01000040,NZ_AZWY01000041,NZ_AZWY01000045,NZ_AZWY01000048,NZ_AZWY01000050,NZ_AZWY01000053,NZ_AZWY01000055,NZ_AZWY01000058,NZ_AZWY01000063,NZ_AZWY01000069,NZ_AZWY01000070,NZ_KI911506,Q748-3-Bu.mzXML,Q748-3-EA.mzXML,Q748-3-Me.mzXML
Salinispora arenicola CNQ884,34969,Q884-3-Bu.mzXML,Q884-3-EA.mzXML,Q884-3-Me.mzXML
Salinispora arenicola CNR107,ARKT01000000,GCA_000378685,GCF_000378685,GCF_000378685.1,NZ_KB900319,NZ_KB900320,NZ_KB900321,NZ_KB900323,NZ_KB900325,NZ_KB900326,NZ_KB900327,NZ_KB900328,NZ_KB900330,NZ_KB900331,NZ_KB900335,NZ_KB900336,NZ_KB900337,NZ_KB900339,NZ_KB900342,NZ_KB900353,R107-3-Bu.mzXML,R107-3-EA.mzXML,R107-3-Me.mzXML
Salinispora arenicola CNR425,AXVS01000000,GCA_000482565,GCF_000482565,GCF_000482565.1,NZ_AXVS01000003,NZ_AXVS01000005,NZ_AXVS01000007,NZ_AXVS01000009,NZ_AXVS01000010,NZ_AXVS01000011,NZ_AXVS01000015,NZ_AXVS01000016,NZ_AXVS01000018,NZ_AXVS01000022,NZ_AXVS01000023,NZ_AXVS01000026,NZ_AXVS01000029,NZ_AXVS01000039,NZ_AXVS01000040,NZ_AXVS01000041,NZ_AXVS01000042,NZ_AXVS01000044,NZ_AXVS01000046,NZ_AXVS01000052,NZ_AXVS01000061,NZ_AXVS01000069,NZ_AXVS01000070,NZ_KI519457,NZ_KI519458,R425-3-Bu.mzXML,R425-3-EA.mzXML,R425-3-Me.mzXML
Salinispora arenicola CNR921,AZWF01000000,GCA_000514595,GCF_000514595,GCF_000514595.1,NZ_AZWF01000003,NZ_AZWF01000004,NZ_AZWF01000007,NZ_AZWF01000008,NZ_AZWF01000009,NZ_AZWF01000015,NZ_AZWF01000016,NZ_AZWF01000017,NZ_AZWF01000020,NZ_AZWF01000022,NZ_AZWF01000023,NZ_KI911432,NZ_KI911436,NZ_KI911437,R921-3-Bu.mzXML,R921-3-EA.mzXML,R921-3-Me.mzXML
Salinispora arenicola CNS051,ARGX01000000,GCA_000375005,GCF_000375005,GCF_000375005.1,NZ_KB895910,NZ_KB895911,NZ_KB895912,NZ_KB895913,NZ_KB895914,NZ_KB895915,NZ_KB895916,NZ_KB895918,NZ_KB895919,NZ_KB895920,NZ_KB895927,NZ_KB895928,NZ_KB895929,NZ_KB895930,NZ_KB895936,NZ_KB895939,NZ_KB895946,NZ_KB895948,NZ_KB895961,NZ_KB895983,NZ_KB895989,NZ_KB895993,S051-3-Bu.mzXML,S051-3-EA.mzXML,S051-3-Me.mzXML
Salinispora arenicola CNS205,13a.mzXML,13b.mzXML,CP000850,GCA_000018265,GCF_000018265,GCF_000018265.1,NC_009953,S205-3-Bu.mzXML,S205-3-EA.mzXML,S205-3-Me.mzXML
Salinispora arenicola CNS243,AUKT01000000,S243-3-Bu.mzXML,S243-3-EA.mzXML,S243-3-Me.mzXML
Salinispora arenicola CNS296,36410,S296-3-Bu.mzXML,S296-3-EA.mzXML,S296-3-Me.mzXML
Salinispora arenicola CNS299,AUKM01000000,GCA_000424745,GCF_000424745,GCF_000424745.1,NZ_AUKM01000003,NZ_AUKM01000004,NZ_AUKM01000008,NZ_AUKM01000010,NZ_AUKM01000011,NZ_AUKM01000015,NZ_AUKM01000016,NZ_AUKM01000019,NZ_AUKM01000025,NZ_AUKM01000026,NZ_AUKM01000027,NZ_AUKM01000028,NZ_AUKM01000030,NZ_AUKM01000031,NZ_AUKM01000033,NZ_AUKM01000036,NZ_AUKM01000040,NZ_AUKM01000041,NZ_AUKM01000042,NZ_AUKM01000043,NZ_AUKM01000044,NZ_AUKM01000047,NZ_AUKM01000050,NZ_AUKM01000051,NZ_AUKM01000058,NZ_AUKM01000062,NZ_KE384235,NZ_KE384238,S299-3-Bu.mzXML,S299-3-EA.mzXML,S299-3-Me.mzXML
Salinispora arenicola CNS325,37242,S325-3-Bu.mzXML,S325-3-EA.mzXML,S325-3-Me.mzXML
Salinispora arenicola CNS342,37324,S342-3-Bu.mzXML,S342-3-EA.mzXML,S342-3-Me.mzXML
Salinispora arenicola CNS673,ARER01000000,GCA_000373845,GCF_000373845,GCF_000373845.1,NZ_KB892524,NZ_KB892525,NZ_KB892526,NZ_KB892527,NZ_KB892528,NZ_KB892529,NZ_KB892531,NZ_KB892534,NZ_KB892535,NZ_KB892537,NZ_KB892541,NZ_KB892542,NZ_KB892543,NZ_KB892544,NZ_KB892547,NZ_KB892548,NZ_KB892549,NZ_KB892552,NZ_KB892566,NZ_KB892568,NZ_KB892578,NZ_KB892581,NZ_KB892582,NZ_KB892601,S673-3-Bu.mzXML,S673-3-EA.mzXML,S673-3-Me.mzXML
Salinispora arenicola CNS744,ARHA01000000,GCA_000375065,GCF_000375065,GCF_000375065.1,NZ_KB896151,NZ_KB896152,NZ_KB896153,NZ_KB896154,NZ_KB896155,NZ_KB896156,NZ_KB896157,NZ_KB896158,NZ_KB896159,NZ_KB896162,NZ_KB896163,NZ_KB896164,NZ_KB896165,NZ_KB896173,NZ_KB896175,NZ_KB896176,NZ_KB896177,NZ_KB896185,NZ_KB896187,NZ_KB896196,S744-3-Bu.mzXML,S744-3-EA.mzXML,S744-3-Me.mzXML
Salinispora arenicola CNS820,36417,S820-3-Bu.mzXML,S820-3-EA.mzXML,S820-3-Me.mzXML
Salinispora arenicola CNS848,38495,S848-3-Bu.mzXML,S848-3-EA.mzXML,S848-3-Me.mzXML
Salinispora arenicola CNS991,2516143022,GCA_000384275,GCF_000384275,GCF_000384275.1,NZ_KB913036,S991-3-Bu.mzXML,S991-3-EA.mzXML,S991-3-Me.mzXML
Salinispora arenicola CNT005,12b.mzXML,12c.mzXML,AZWU01000001,GCA_000514895,GCF_000514895,GCF_000514895.1,NZ_AZWU01000007,NZ_AZWU01000017,NZ_AZWU01000018,NZ_AZWU01000019,NZ_AZWU01000020,NZ_AZWU01000021,NZ_AZWU01000022,NZ_AZWU01000023,NZ_AZWU01000029,NZ_AZWU01000030,NZ_AZWU01000031,NZ_AZWU01000036,NZ_AZWU01000037,NZ_AZWU01000038,NZ_AZWU01000039,NZ_AZWU01000045,NZ_AZWU01000046,NZ_AZWU01000047,NZ_AZWU01000052,NZ_AZWU01000054,NZ_AZWU01000064,NZ_KI911490,NZ_KI911492,NZ_KI911493,NZ_KI911494,T005-3-Bu.mzXML,T005-3-EA.mzXML,T005-3-Me.mzXML
Salinispora arenicola CNT088,AIIJ01,T088-3-Bu.mzXML,T088-3-EA.mzXML,T088-3-Me.mzXML
