spec ID, x, y
1,3.204259903643219,3.2655402659067136
3,1.6567186749879608,4.134439812131814
58,-4.022963792265365,-5.0435043808502
97,-4.130776739405626,-10.974221404846611
98,-4.194315411211066,-10.938127305651939
119,-4.158054462504565,-10.955813712983911
82,-4.137193349446749,-10.961398144864999
111,-4.13873004244218,-10.980663888751213
148,-4.202842013714556,-10.944455642033802
146,-4.1089948509420875,-10.959304848765198
156,-4.306876012683121,-10.666390016427519
149,-4.119477925034596,-11.002366731300068
95,-6.459054478955835,-1.1866898324599184
171,-6.444755494748503,-1.1754292712581835
179,-6.478981648379212,-1.2044110469093785
176,-4.28003196958798,-10.837132662974886
72,-4.029977133796989,-11.067092637088919
190,-3.1666803401180217,-6.651849551503119
165,-8.233264342576666,8.643966969437978
41,-7.542478874311894,-3.028752892950689
202,-4.499880035532894,-5.254558600634189
204,-10.36736820399663,-1.4666852505241925
209,-5.181199406236258,-5.802085163723449
129,-7.935452288313561,1.721566154978678
270,-4.50660068490853,-5.305681443316178
300,-5.524436778596167,-4.51855132340344
310,-4.834091658642425,-4.48165197774342
322,-3.230514307624872,-7.013607249340414
323,-3.099619980497865,-6.6900030055260284
334,-3.419492674148518,-6.849397555458454
368,-7.37570859266924,-4.145312565541799
100,-3.5272193930971847,-11.172074064535636
411,-2.920052824574611,-6.919564988218708
628,-8.000728231676229,2.094837086296079
639,-9.855006257353981,-4.493983482778469
729,-9.854758445757476,-4.424964908381797
544,-9.814685379290598,-4.238518170199526
505,-6.553640349961623,-3.1186967151804956
599,-6.435528090095357,2.301562451726769
606,-9.78381556367511,-4.281797679547043
634,-9.843798058537091,-4.68013903395375
674,-9.807917031862193,-4.853792366704362
678,-7.534308668766566,1.1921964861696335
774,-7.691229847189837,2.497694268747809
875,-7.954608087006999,0.5150260893113869
620,-8.057866617217481,2.153037868049535
901,-4.658971668779971,-6.823586582101154
624,-6.61659796793403,1.6170122266297962
612,-8.170754252816264,2.037074101539717
707,-9.891882106780608,-4.113694727486412
594,-9.82151091007827,-4.655433809620021
982,-8.16544994303294,1.2390077773496593
993,-7.9084096936948045,2.816576823489974
1062,-6.282550919447018,-3.4328878346135396
276,-3.9133377844501123,-5.858561248544617
1069,-7.339051494504349,-2.126408481449389
1083,-6.517187159093488,5.195402741323755
275,-4.442169875936757,-5.1489120807864746
726,-5.982771543612052,-2.2917894535940007
274,-4.27897100218312,-5.312201400922885
1006,-8.520438959240822,2.842380752697948
